# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
2.213 None 0   None 0   None 0   None 0   0.814828999226 0
2.22 None 0   None 0   None 0   1.15783823707 0   0.743971079669 0
2.227 None 0   None 0   None 0   None 0   1.21021722698 0
2.23 None 0   None 0   None 0   1.14379405766 0   None 0
2.234 None 0   None 0   None 0   None 0   1.05574894261 0
2.24 None 0   None 0   0.866620426576 0   1.01143171942 0   None 0
2.241 None 0   None 0   None 0   None 0   1.35415720255 0
2.248 None 0   None 0   None 0   None 0   1.39275492816 0
2.25 None 0   0.837191976211 0   None 0   1.25782256905 0   None 0
2.255 None 0   None 0   None 0   None 0   0.864233299735 0
2.26 None 0   None 0   None 0   0.916854908991 0   None 0
2.262 None 0   None 0   None 0   None 0   0.645210430354 0
2.269 None 0   None 0   None 0   None 0   1.21675252749 0
2.27 None 0   None 0   0.735246044401 0   1.08326277753 0   None 0
2.276 None 0   None 0   None 0   None 0   1.06899560766 0
2.28 None 0   None 0   None 0   1.1088062573 0   None 0
2.283 None 0   None 0   None 0   None 0   1.0971846327 0
2.29 None 0   None 0   None 0   1.1889404976 0   1.39462365862 0
2.297 None 0   None 0   None 0   None 0   2.13159838629 0
2.3 None 0   None 0   1.5138013657 0   0.850903466358 0   None 0
2.304 None 0   None 0   None 0   None 0   1.81140056425 0
2.31 None 0   None 0   None 0   1.16421301847 0   None 0
2.311 None 0   None 0   None 0   None 0   1.41182615511 0
2.318 None 0   None 0   None 0   None 0   1.78430285678 0
2.32 None 0   None 0   None 0   1.05542889975 0   None 0
2.325 None 0   None 0   None 0   None 0   2.01718404351 0
2.33 None 0   None 0   None 0   1.13602826905 0   None 0
2.332 None 0   None 0   None 0   None 0   3.70505850541 0
2.339 None 0   None 0   None 0   None 0   4.22330227219 0
2.34 None 0   0.8666034074 0   None 0   1.52237456215 0   None 0
2.346 None 0   None 0   None 0   None 0   4.45639013417 0
2.35 None 0   None 0   1.0858488371 0   1.36300999805 0   None 0
2.353 None 0   None 0   None 0   None 0   4.69327446349 0
2.36 None 0   None 0   None 0   1.10710980203 0   4.96184882219 0
2.367 None 0   None 0   None 0   None 0   3.0134050747 0
2.37 None 0   None 0   None 0   1.05707816459 0   None 0
2.374 None 0   None 0   None 0   None 0   5.23159483171 0
2.38 None 0   None 0   None 0   0.968370747854 0   None 0
2.381 None 0   None 0   None 0   None 0   5.91165987195 0
2.388 None 0   None 0   None 0   None 0   5.51538210112 0
2.39 None 0   None 0   None 0   1.39129148945 0   None 0
2.395 None 0   None 0   None 0   None 0   3.81311458762 0
2.4 0.76360695104 0   None 0   3.97919167328 0   2.3169501082 0   None 0
2.402 None 0   None 0   None 0   None 0   3.95687231767 0
2.409 None 0   None 0   None 0   None 0   4.49541070213 0
2.41 None 0   None 0   None 0   2.49450712511 0   None 0
2.416 None 0   None 0   None 0   None 0   4.74037018445 0
2.42 None 0   None 0   None 0   3.38467216056 0   None 0
2.423 None 0   None 0   None 0   None 0   6.20087369051 0
2.43 None 0   1.24949136478 0   None 0   3.09298395426 0   6.74972443933 0
2.437 None 0   None 0   None 0   None 0   5.40265250847 0
2.44 None 0   None 0   None 0   4.64759372467 0   4.66420396834 0
2.45 None 0   None 0   4.39628979279 0   None 0   None 0
2.457 None 0   None 0   None 0   None 0   8.11770294302 0
